loading Antonis manual QC ...
loading King's QC ...
loading struct pipeline QC ...
tagging matteo's blacklisted scans ...
loading matteo's QC ...
820 matteo successes
loading sean's QC ...
590 sean successes
finding images in struct output with at least T2 ...
669 struct pipeline successes
920 scans
352 scans accepted
568 scans rejected
subject,session,accept,antonis1,antonis2,antonis3,antonis,has_struct,matteo,matteo_qc,sean_qc
CC00050XX01,7201,false,2,2,2,true,true,,false,,
CC00051XX02,7702,false,4,4,4,true,true,,false,,
CC00052XX03,8300,false,4,3,3,true,true,,false,,
CC00053XX04,8607,false,,,3,true,true,,false,,
CC00054XX05,8800,false,,,4,true,true,,false,,
CC00055XX06,9300,false,,,4,true,true,,false,,
CC00056XX07,10700,true,3,4,4,true,true,,true,true,
CC00057XX08,11002,true,,,4,true,true,,true,true,
CC00058XX09,11300,false,,,3,true,true,,false,true,
CC00059XX10,11900,false,,,,,,,false,,
CC00060XX03,12501,true,3,3,3,true,true,,true,true,
CC00061XX04,13300,true,,,4,true,true,,true,true,
CC00062XX05,13801,false,4,4,4,true,true,,true,,
CC00063AN06,15102,true,,,2,true,true,,true,true,
CC00063BN06,15102,false,,,,,,,false,,
CC00064XX07,18303,false,,,3,true,true,,false,true,
CC00065XX08,18600,true,,,3,true,true,,true,true,
CC00066XX09,19200,true,4,4,4,true,true,,true,true,
CC00067XX10,20200,true,2,2,2,true,true,,true,true,
CC00068XX11,20701,false,3,4,4,true,true,,true,,
CC00069XX12,26300,true,3,3,3,true,true,,true,true,
CC00070XX05,26700,true,,,4,true,true,,true,true,
CC00071XX06,27000,true,4,4,4,true,true,,true,true,
CC00072XX07,27600,true,,,3,true,true,,true,true,
CC00073XX08,27800,true,,,4,true,true,,true,true,
CC00074XX09,28000,true,,,4,true,true,,true,true,
CC00075XX10,28400,false,,,3,true,true,,true,,
CC00076XX11,28700,true,,,3,true,true,,true,true,
CC00077XX12,29500,false,,,4,true,true,,true,,
CC00078XX13,29900,false,,,4,true,true,,true,,
CC00079XX14,30000,false,,,3,true,true,,true,,
CC00080XX07,30300,false,3,3,3,true,true,,true,,
CC00081XX08,30500,false,,,3,true,,,,,
CC00081XX08,33702,false,,,4,true,,,,,
CC00082XX09,30700,false,,,3,true,true,,true,,
CC00083XX10,30900,false,3,4,4,true,true,,true,,
CC00084XX11,31201,false,3,2,2,true,true,,true,,
CC00085XX12,31400,false,2,2,2,true,true,,false,,
CC00086XX13,31500,false,,,4,true,true,,true,,
CC00087AN14,31800,false,,,4,true,true,,true,,
CC00087AN14,38800,true,,,4,true,true,,true,true,
CC00087BN14,32100,false,3,4,4,true,true,,true,,
CC00088XX15,31801,false,,,4,true,true,,true,,
CC00089XX16,32101,false,2,3,3,true,true,,true,,
CC00091XX10,32300,false,,,4,true,true,,true,,
CC00094AN13,33500,false,3,3,3,true,true,,true,,
CC00094BN13,33301,false,,,4,true,true,,true,,
CC00095XX14,33501,false,,,4,true,true,,true,,
CC00096XX15,33700,false,4,4,4,true,true,,true,,
CC00097XX16,33701,false,,,2,true,true,,true,,
CC00098BN17,33900,true,4,4,4,true,true,,true,true,
CC00099AN18,34200,true,3,3,3,true,true,,true,true,
