loading Antonis manual QC ...
loading struct pipeline QC ...
checking for t2 ...
tagging blacklisted scans ...
759 scans
647 scans accepted
112 scans rejected
meaning of columns:
   accept       -- all non-nil test columns are TRUE
   tsv          -- TRUE if we have redcap data for this scan
   antonis1     -- serena's scores from 2016
   antonis2     -- antonis' scores from 2016
   antonis3     -- antonis' scores from 2017
   antonis      -- TRUE if median antonis[1-3] >= 2
   blacklist    -- FALSE if subject has been blacklisted
   has_T2       -- TRUE if there's a T2 scan in struct output
   struct_qc_T1 -- TRUE if struct auto QC has T1 output
   struct_qc_T2 -- TRUE if struct auto QC has T2 output
subject,session,accept,tsv,antonis1,antonis2,antonis3,antonis,blacklist,has_T2,struct_qc_T1,struct_qc_T2
CC00050XX01,7201,true,true,2,2,2,true,,true,,,
CC00051XX02,7702,true,true,4,4,4,true,,true,true,true,
CC00052XX03,8300,true,true,4,3,3,true,,true,true,true,
CC00053XX04,8607,true,true,,,3,true,,true,true,true,
CC00054XX05,8800,true,true,,,4,true,,true,true,true,
CC00055XX06,9300,true,true,,,4,true,,true,true,true,
CC00056XX07,10700,true,true,3,4,4,true,,true,true,true,
CC00057XX08,11002,true,true,,,4,true,,true,true,true,
CC00058XX09,11300,true,true,,,3,true,,true,,,
CC00060XX03,12501,true,true,3,3,3,true,,true,true,true,
CC00061XX04,13300,true,true,,,4,true,,true,true,true,
CC00062XX05,13801,true,true,4,4,4,true,,true,true,true,
CC00063AN06,15102,true,true,,,2,true,,true,true,true,
CC00064XX07,18303,true,true,,,3,true,,true,true,true,
CC00065XX08,18600,true,true,,,3,true,,true,true,true,
CC00066XX09,19200,true,true,4,4,4,true,,true,true,true,
CC00067XX10,20200,true,true,2,2,2,true,,true,true,true,
CC00068XX11,20701,true,true,3,4,4,true,,true,true,true,
CC00069XX12,26300,true,true,3,3,3,true,,true,true,true,
CC00070XX05,26700,true,true,,,4,true,,true,,,
CC00071XX06,27000,true,true,4,4,4,true,,true,true,true,
CC00072XX07,27600,true,true,,,3,true,,true,,,
CC00073XX08,27800,true,true,,,4,true,,true,true,true,
CC00074XX09,28000,true,true,,,4,true,,true,true,true,
CC00075XX10,28400,true,true,,,3,true,,true,true,true,
CC00076XX11,28700,true,true,,,3,true,,true,true,true,
CC00077XX12,29500,true,true,,,4,true,,true,,,
CC00078XX13,29900,true,true,,,4,true,,true,true,true,
CC00079XX14,30000,true,true,,,3,true,,true,true,true,
CC00080XX07,30300,true,true,3,3,3,true,,true,true,true,
CC00081XX08,30500,false,false,,,3,true,,,,,
CC00081XX08,33702,false,false,,,4,true,,,,,
CC00082XX09,30700,true,true,,,3,true,,true,true,true,
CC00083XX10,30900,true,true,3,4,4,true,,true,true,true,
CC00084XX11,31201,true,true,3,2,2,true,,true,true,true,
CC00085XX12,31400,true,true,2,2,2,true,,true,true,true,
CC00086XX13,31500,true,true,,,4,true,,true,true,true,
CC00087AN14,31800,true,true,,,4,true,,true,true,true,
CC00087AN14,38800,true,true,,,4,true,,true,,,
CC00087BN14,32100,true,true,3,4,4,true,,true,true,true,
CC00088XX15,31801,true,true,,,4,true,,true,true,true,
CC00089XX16,32101,true,true,2,3,3,true,,true,true,true,
CC00091XX10,32300,true,true,,,4,true,,true,true,true,
CC00094AN13,33500,true,true,3,3,3,true,,true,true,true,
CC00094BN13,33301,true,true,,,4,true,,true,true,true,
CC00095XX14,33501,true,true,,,4,true,,true,true,true,
CC00096XX15,33700,true,true,4,4,4,true,,true,true,true,
CC00097XX16,33701,true,true,,,2,true,,true,,,
CC00098BN17,33900,true,true,4,4,4,true,,true,,,
CC00099AN18,34200,true,true,3,3,3,true,,true,true,true,
CC00099BN18,34201,true,true,3,3,3,true,,true,true,true,
CC00100XX01,35000,true,true,,,4,true,,true,true,true,
CC00101XX02,35001,true,true,3,4,4,true,,true,true,true,
CC00102XX03,35200,true,true,,,4,true,,true,true,true,
CC00103XX04,35300,true,true,,,4,true,,true,,,
CC00104XX05,35800,true,true,,,4,true,,true,true,true,
CC00105XX06,35801,false,false,,,3,true,,,,,
CC00106XX07,36100,true,true,,,4,true,,true,true,true,
CC00107XX08,36300,true,true,,,4,true,,true,true,true,
CC00108XX09,36800,true,true,4,4,4,true,,true,true,true,
CC00109XX10,36901,true,true,,,3,true,,true,true,true,
CC00110XX03,37000,true,true,3,4,4,true,,true,,,
CC00111XX04,37002,true,true,4,4,4,true,,true,true,true,
CC00112XX05,37001,true,true,4,4,4,true,,true,true,true,
CC00113XX06,37200,true,true,3,3,3,true,,true,true,true,
CC00114XX07,37100,true,true,3,4,4,true,,true,true,true,
CC00115XX08,37801,true,true,,,3,true,,true,true,true,
CC00116XX09,38001,true,true,3,3,3,true,,true,true,true,
CC00117XX10,38200,true,true,3,4,4,true,,true,true,true,
CC00118XX11,39100,true,true,4,2,2,true,,true,,,
CC00119XX12,39400,true,true,4,4,4,true,,true,true,true,
CC00120XX05,41600,true,true,,,3,true,,true,true,true,
CC00121XX06,41700,true,true,,,4,true,,true,true,true,
CC00122XX07,42000,true,true,4,4,4,true,,true,true,true,
CC00124XX09,42302,true,true,,,4,true,,true,true,true,
CC00126XX11,43100,true,true,3,4,4,true,,true,true,true,
CC00127XX12,43200,true,true,,,2,true,,true,true,true,
CC00128XX13,43201,true,true,,,4,true,,true,,,
CC00129AN14,43500,true,true,3,3,3,true,,true,true,true,
CC00129BN14,43701,true,true,3,3,3,true,,true,true,true,
CC00130XX07,44001,true,true,4,4,4,true,,true,true,true,
CC00131XX08,44200,true,true,,,3,true,,true,true,true,
CC00132XX09,44400,true,true,3,3,3,true,,true,true,true,
CC00133XX10,44500,false,false,3,3,3,true,,,,,
CC00134XX11,44600,true,true,,,3,true,,true,true,true,
CC00135AN12,44900,true,true,,,4,true,,true,true,true,
CC00135AN12,54400,true,true,,,4,true,,true,true,true,
CC00135BN12,44704,true,true,,,4,true,,true,true,true,
CC00135BN12,54500,true,true,,,4,true,,true,,,
CC00136AN13,45100,true,true,,,4,true,,true,true,true,
CC00136AN13,64201,true,true,,,4,true,,true,,,
CC00136BN13,45000,false,true,,,,,,false,,,
CC00136BN13,64300,true,true,,,4,true,,true,,,
CC00137XX14,45200,true,true,4,4,4,true,,true,,,
CC00138XX15,46200,true,true,2,3,3,true,,true,true,true,
CC00139XX16,49101,true,true,,,4,true,,true,true,true,
CC00140XX09,46800,false,false,1,1,1,false,,,,,
CC00143AN12,47501,true,true,4,4,4,true,,true,true,true,
CC00143BN12,47600,true,true,,,4,true,,true,true,true,
CC00144XX13,47701,true,true,,,3,true,,true,true,true,
CC00145XX14,48100,true,true,3,3,3,true,,true,true,true,
CC00146XX15,48400,true,true,,,2,true,,true,true,true,
CC00147XX16,48500,true,true,,,4,true,,true,true,true,
CC00149XX18,49000,true,true,,,4,true,,true,true,true,
CC00150AN02,54800,true,true,,,4,true,,true,true,true,
CC00150BN02,49100,true,true,,,4,true,,true,true,true,
CC00152AN04,49200,true,true,,,4,true,,true,true,true,
CC00152AN04,65700,true,true,4,4,4,true,,true,,,
CC00153XX05,50300,true,true,4,4,4,true,,true,true,true,
CC00154XX06,50700,true,true,,,4,true,,true,true,true,
CC00154XX06,69600,true,true,4,4,4,true,,true,,,
CC00155XX07,51300,false,true,,,1,false,,true,true,true,
CC00156XX08,51500,true,true,3,3,3,true,,true,,,
CC00157XX09,51900,true,true,,,4,true,,true,true,true,
CC00158XX10,52200,true,true,,,3,true,,true,true,true,
CC00159XX11,52600,true,true,4,4,4,true,,true,true,true,
CC00160XX04,52700,true,true,3,3,3,true,,true,true,true,
CC00161XX05,53100,true,true,4,4,4,true,,true,true,true,
CC00162XX06,53600,true,true,3,3,3,true,,true,true,true,
CC00163XX07,53701,true,true,,,3,true,,true,true,true,
CC00164XX08,54000,true,true,4,4,4,true,,true,true,true,
CC00165XX09,54600,true,true,,,4,true,,true,true,true,
CC00166XX10,54701,false,true,,,1,false,,true,,,
CC00167XX11,55600,true,true,3,4,4,true,,true,,,
CC00168XX12,55700,true,true,4,4,4,true,,true,true,true,
CC00169XX13,55500,true,true,,,4,true,,true,,,
CC00170XX06,56100,true,true,3,4,4,true,,true,true,true,
CC00171XX07,56300,true,true,2,2,2,true,,true,true,true,
CC00172AN08,56901,true,true,4,4,4,true,,true,true,true,
CC00172BN08,57300,true,true,3,4,4,true,,true,true,true,
CC00173XX09,57100,true,true,2,2,2,true,,true,,,
CC00174XX10,57200,true,true,4,4,4,true,,true,true,true,
CC00176XX12,57600,true,true,4,4,4,true,,true,true,true,
CC00177XX13,58500,true,true,,,4,true,,true,true,true,
CC00178XX14,58600,true,true,2,3,3,true,,true,true,true,
CC00179XX15,58800,true,true,3,3,3,true,,true,true,true,
CC00180XX08,59500,true,true,,,4,true,,true,true,true,
CC00181XX09,60000,true,true,,,3,true,,true,true,true,
CC00182XX10,60200,true,true,,,4,true,,true,true,true,
CC00183XX11,60300,true,true,,,3,true,,true,true,true,
CC00184XX12,60501,true,true,,,4,true,,true,true,true,
CC00185XX13,60800,true,true,,,4,true,,true,true,true,
CC00186AN14,60900,true,true,,,4,true,,true,true,true,
CC00186BN14,61000,true,true,,,4,true,,true,true,true,
CC00187XX15,61500,true,true,,,4,true,,true,,,
CC00188XX16,61800,true,true,,,4,true,,true,,,
CC00189XX17,62301,true,true,,,3,true,,true,true,true,
CC00191XX11,65200,true,true,,,3,true,,true,true,true,
CC00191XX11,79600,true,true,2,2,2,true,,true,true,true,
CC00192AN12,64301,true,true,4,4,4,true,,true,true,true,
CC00193XX13,64400,true,true,,,3,true,,true,true,true,
CC00194XX14,65401,true,true,4,4,4,true,,true,true,true,
CC00195XX15,65800,true,true,4,4,4,true,,true,,,
CC00196XX16,66100,true,true,4,4,4,true,,true,,,
CC00197XX17,66500,true,true,,,4,true,,true,true,true,
CC00198XX18,66600,true,true,,,3,true,,true,true,true,
CC00199XX19,66700,true,true,,,3,true,,true,true,true,
CC00200XX02,67204,true,true,4,3,3,true,,true,true,true,
CC00201XX03,67600,true,true,4,4,4,true,,true,true,true,
CC00202XX04,67800,true,true,,,4,true,,true,true,true,
CC00203XX05,69500,true,true,,,4,true,,true,true,true,
CC00204XX06,69900,true,true,,,3,true,,true,true,true,
CC00205XX07,70000,true,true,3,4,4,true,,true,true,true,
CC00206XX08,70100,true,true,4,4,4,true,,true,true,true,
CC00207XX09,70301,false,true,,,,,,false,,,
CC00207XX09,88700,true,true,,,4,true,,true,true,true,
CC00209XX11,70400,true,true,4,4,4,true,,true,true,true,
CC00216AN10,73100,true,true,4,4,4,true,,true,true,true,
CC00216BN10,73200,true,true,4,4,4,true,,true,true,true,
CC00217XX11,73700,true,true,4,4,4,true,,true,true,true,
CC00218AN12,74801,true,true,,,3,true,,true,true,true,
CC00218AN12,85900,true,true,4,4,4,true,,true,,,
CC00218BN12,74800,true,true,,,3,true,,true,true,true,
CC00218BN12,86000,true,true,4,4,4,true,,true,,,
CC00219XX13,74400,false,true,,,,,,false,,,
CC00219XX13,86600,true,true,,,4,true,,true,true,true,
CC00221XX07,75000,true,true,3,2,2,true,,true,true,true,
CC00223XX09,75900,true,true,4,4,4,true,,true,true,true,
CC00226XX12,76600,true,true,,,4,true,,true,,,
CC00227XX13,76601,false,true,,,1,false,,true,,,
CC00227XX13,92100,true,true,,,4,true,,true,true,true,
CC00228XX14,77001,true,true,,,3,true,,true,,,
CC00228XX14,81300,true,true,,,3,true,,true,,,
CC00231XX09,77701,true,true,4,4,4,true,,true,true,true,
CC00232XX10,78300,true,true,,,4,true,,true,,,
CC00233XX11,77800,true,true,4,4,4,true,,true,,,
CC00236XX14,78700,true,true,2,2,2,true,,true,true,true,
CC00237XX15,79300,true,true,4,4,4,true,,true,true,true,
CC00238AN16,80300,true,true,3,3,3,true,,true,true,true,
CC00238BN16,80400,true,true,3,3,3,true,,true,true,true,
CC00239XX17,80600,true,true,3,4,4,true,,true,,,
CC00242XX12,80900,true,true,3,3,3,true,,true,,,
CC00243BN13,81100,true,true,,,4,true,,true,,,
CC00244XX14,81200,true,true,,,4,true,,true,true,true,
CC00245AN15,82304,true,true,,,4,true,,true,true,true,
CC00245AN15,94300,true,true,4,4,4,true,,true,true,true,
CC00245BN15,82600,true,true,,,4,true,,true,true,true,
CC00245BN15,94400,false,true,,,,,,false,,,
CC00247XX17,82801,true,true,,,3,true,,true,true,true,
CC00248XX18,83000,false,true,,,,,,false,,,
CC00248XX18,92700,true,true,,,4,true,,true,true,true,
CC00250XX03,83700,true,true,4,3,3,true,,true,true,true,
CC00251XX04,83800,true,true,,,4,true,,true,true,true,
CC00252XX05,84000,true,true,4,4,4,true,,true,true,true,
CC00254XX07,84300,true,true,4,4,4,true,,true,true,true,
CC00255XX08,84400,true,true,,,3,true,,true,true,true,
CC00256XX09,84500,true,true,,,3,true,,true,,,
CC00257XX10,84700,true,true,3,3,3,true,,true,true,true,
CC00258XX11,84900,true,true,4,4,4,true,,true,true,true,
CC00259XX12,85100,false,true,,,1,false,,true,true,true,
CC00260XX05,85300,true,true,,,4,true,,true,true,true,
CC00261XX06,85600,true,true,,,2,true,,true,,,
CC00264AN09,89400,true,true,,,3,true,,true,,,
CC00265XX10,86901,true,true,,,2,true,,true,true,true,
CC00267XX12,87700,true,true,4,4,4,true,,true,true,true,
CC00268XX13,87800,true,true,3,3,3,true,,true,true,true,
CC00269XX14,88300,true,true,,,2,true,,true,true,true,
CC00270XX07,88600,true,true,,,4,true,,true,true,true,
CC00271XX08,100400,true,true,,,4,true,,true,true,true,
CC00271XX08,88900,true,true,,,3,true,,true,,,
CC00272XX09,117900,true,true,3,4,4,true,,true,true,true,
CC00272XX09,89100,false,true,,,,,,false,,,
CC00275XX12,93501,true,true,,,4,true,,true,,,
CC00281AN10,90400,true,true,4,4,4,true,,true,true,true,
CC00281BN10,90500,true,true,4,4,4,true,,true,true,true,
CC00284AN13,111400,true,true,,,3,true,,true,true,true,
CC00284AN13,90701,true,true,,,4,true,,true,true,true,
CC00284BN13,111500,true,true,,,4,true,,true,true,true,
CC00284BN13,90801,true,true,,,3,true,,true,true,true,
CC00286XX15,91700,true,true,4,4,4,true,,true,true,true,
CC00287AN16,91801,true,true,,,4,true,,true,,,
CC00287BN16,93900,false,true,4,4,4,true,false,true,,,
CC00289XX18,119700,true,true,,,4,true,,true,true,true,
CC00289XX18,92601,false,true,,,,,,false,,,
CC00290XX11,92900,true,true,,,4,true,,true,,,
CC00291XX12,93100,false,false,,,4,true,,,,,
CC00292XX13,93800,true,true,4,4,4,true,,true,true,true,
CC00293AN14,97401,true,true,,,4,true,,true,true,true,
CC00293BN14,97500,true,true,,,4,true,,true,true,true,
CC00295XX16,127500,true,true,4,4,4,true,,true,,,
CC00295XX16,94500,false,true,,,,,,false,,,
CC00298XX19,94700,true,true,2,2,2,true,,true,true,true,
CC00299XX20,94900,true,true,4,3,3,true,,true,,,
CC00300XX03,96000,true,true,,,4,true,,true,true,true,
CC00301XX04,113001,true,true,4,4,4,true,,true,true,true,
CC00301XX04,96400,true,true,,,3,true,,true,true,true,
CC00302XX05,113500,true,true,,,4,true,,true,true,true,
CC00302XX05,96800,false,true,,,,,,false,,,
CC00303XX06,96900,true,true,4,4,4,true,,true,true,true,
CC00304XX07,111600,true,true,,,4,true,,true,true,true,
CC00304XX07,97801,false,true,,,,,,false,,,
CC00305XX08,115700,true,true,,,4,true,,true,true,true,
CC00305XX08,98101,true,true,,,4,true,,true,true,true,
CC00306XX09,98700,true,true,,,4,true,,true,true,true,
CC00307XX10,98800,true,true,,,4,true,,true,true,true,
CC00308XX11,98900,true,true,,,4,true,,true,true,true,
CC00309BN12,99400,true,true,4,4,4,true,,true,true,true,
CC00310XX05,99500,false,true,1,1,1,false,,true,,,
CC00313XX08,100000,true,true,4,4,4,true,,true,true,true,
CC00314XX09,100101,true,true,,,3,true,,true,true,true,
CC00316XX11,101300,true,true,4,4,4,true,,true,true,true,
CC00319XX14,102201,false,true,,,,,,false,,,
CC00319XX14,117300,true,true,,,3,true,,true,true,true,
CC00320XX07,102300,true,true,2,2,2,true,,true,true,true,
CC00321XX08,102700,true,true,4,4,4,true,,true,true,true,
CC00322XX09,103700,true,true,,,4,true,,true,,,
CC00324XX11,104500,false,true,,,,,,false,,,
CC00324XX11,111200,true,true,,,2,true,,true,true,true,
CC00325XX12,103900,true,true,,,4,true,,true,true,true,
CC00326XX13,104100,true,true,,,2,true,,true,true,true,
CC00326XX13,118800,true,true,3,4,4,true,,true,true,true,
CC00328XX15,104800,false,true,,,1,false,,true,true,true,
CC00329XX16,105400,true,true,,,3,true,,true,true,true,
CC00330XX09,106500,false,true,,,,,,false,,,
CC00330XX09,128200,true,true,,,4,true,,true,,,
CC00332XX11,105700,true,true,4,4,4,true,,true,true,true,
CC00333XX12,105800,true,true,4,4,4,true,,true,true,true,
CC00334XX13,106100,true,true,3,3,3,true,,true,true,true,
CC00335XX14,106300,true,true,4,4,4,true,,true,,,
CC00336XX15,106600,true,true,,,4,true,,true,,,
CC00337XX16,107000,true,true,,,4,true,,true,true,true,
CC00338AN17,107700,true,true,,,4,true,,true,true,true,
CC00338BN17,107600,true,true,4,4,4,true,,true,true,true,
CC00339XX18,107200,true,true,,,3,true,,true,true,true,
CC00340XX11,107902,true,true,4,4,4,true,,true,,,
CC00341XX12,108000,true,true,,,3,true,,true,true,true,
CC00342XX13,108300,true,true,4,4,4,true,,true,true,true,
CC00343XX14,108500,true,true,4,4,4,true,,true,true,true,
CC00344XX15,108600,true,true,4,4,4,true,,true,true,true,
CC00345XX16,109000,true,true,,,4,true,,true,true,true,
CC00346XX17,109200,true,true,3,4,4,true,,true,,,
CC00347XX18,109600,true,true,3,4,4,true,,true,true,true,
CC00348XX19,110200,true,true,,,3,true,,true,true,true,
CC00349XX20,110300,true,true,,,4,true,,true,true,true,
CC00350XX04,109100,true,true,4,4,4,true,,true,true,true,
CC00351XX05,109500,true,true,,,4,true,,true,true,true,
CC00352XX06,110700,true,true,,,3,true,,true,true,true,
CC00353XX07,111000,true,true,3,3,3,true,,true,true,true,
CC00354XX08,112100,true,true,4,4,4,true,,true,,,
CC00355XX09,112600,true,true,,,4,true,,true,,,
CC00356XX10,112901,true,true,,,4,true,,true,true,true,
CC00357XX11,113900,true,true,4,4,4,true,,true,true,true,
CC00358XX12,114400,true,true,3,3,3,true,,true,,,
CC00361XX07,111700,true,true,,,4,true,,true,true,true,
CC00361XX07,120500,true,true,,,4,true,,true,true,true,
CC00362XX08,114500,true,true,4,4,4,true,,true,true,true,
CC00363XX09,114900,true,true,3,3,3,true,,true,true,true,
CC00364XX10,115200,true,true,,,3,true,,true,true,true,
CC00365XX11,115800,false,true,1,1,1,false,,true,,,
CC00366XX12,116300,true,true,,,3,true,,true,true,true,
CC00367XX13,116000,true,true,4,4,4,true,,true,true,true,
CC00368XX14,116600,true,true,3,3,3,true,,true,true,true,
CC00370XX08,114200,false,true,,,,,,false,,,
CC00370XX08,142400,true,true,,,4,true,,true,true,true,
CC00371XX09,114201,false,true,,,,,,false,,,
CC00371XX09,134700,true,true,,,4,true,,true,true,true,
CC00375XX13,116900,true,true,3,3,3,true,,true,,,
CC00376XX14,118400,true,true,,,4,true,,true,true,true,
CC00377XX15,119800,true,true,,,4,true,,true,true,true,
CC00378XX16,120200,true,true,,,3,true,,true,true,true,
CC00379XX17,120400,true,true,4,3,3,true,,true,true,true,
CC00380XX10,121200,true,true,,,3,true,,true,,,
CC00381XX11,121600,true,true,2,2,2,true,,true,,,
CC00382XX12,121700,true,true,2,3,3,true,,true,true,true,
CC00383XX13,121800,true,true,,,4,true,,true,true,true,
CC00384XX14,122200,true,true,4,4,4,true,,true,true,true,
CC00385XX15,118500,true,true,,,4,true,,true,true,true,
CC00385XX15,125700,true,true,4,3,3,true,,true,true,true,
CC00388XX18,118700,true,true,,,4,true,,true,,,
CC00389XX19,119100,true,true,,,4,true,,true,true,true,
CC00389XX19,133800,true,true,,,3,true,,true,true,true,
CC00395XX17,121300,true,true,,,4,true,,true,true,true,
CC00395XX17,129500,true,true,,,4,true,,true,true,true,
CC00397XX19,122700,true,true,,,3,true,,true,true,true,
CC00398XX20,123100,true,true,,,4,true,,true,true,true,
CC00399XX21,123400,true,true,3,4,4,true,,true,,,
CC00400XX04,123700,true,true,,,4,true,,true,true,true,
CC00401XX05,123900,false,false,3,3,3,true,,,,,
CC00402XX06,124300,true,true,4,4,4,true,,true,true,true,
CC00403XX07,124400,true,true,4,3,3,true,,true,true,true,
CC00405XX09,124900,true,true,,,3,true,,true,true,true,
CC00406XX10,122900,true,true,,,4,true,,true,true,true,
CC00406XX10,129200,true,true,,,4,true,,true,true,true,
CC00407AN11,124000,true,true,,,3,true,,true,true,true,
CC00407AN11,137100,true,true,,,4,true,,true,true,true,
CC00407BN11,124100,true,true,,,4,true,,true,true,true,
CC00407BN11,137200,true,true,,,4,true,,true,,,
CC00408XX12,125500,true,true,,,3,true,,true,true,true,
CC00409XX13,125600,true,true,,,4,true,,true,true,true,
CC00410XX06,125800,true,true,3,3,3,true,,true,,,
CC00411XX07,126200,true,true,,,4,true,,true,true,true,
CC00412XX08,126301,true,true,3,3,3,true,,true,true,true,
CC00413XX09,127100,true,true,3,4,4,true,,true,true,true,
CC00414XX10,127300,true,true,,,4,true,,true,true,true,
CC00415XX11,127400,true,true,3,3,3,true,,true,true,true,
CC00416XX12,128900,true,true,,,3,true,,true,true,true,
CC00417XX13,129000,true,true,,,4,true,,true,true,true,
CC00418AN14,125200,true,true,4,4,4,true,,true,true,true,
CC00418AN14,130200,true,true,,,4,true,,true,true,true,
CC00418BN14,125300,true,true,4,4,4,true,,true,true,true,
CC00418BN14,130300,true,true,,,4,true,,true,true,true,
CC00421AN09,126000,true,true,3,3,3,true,,true,true,true,
CC00421BN09,126100,true,true,4,4,4,true,,true,true,true,
CC00422XX10,127800,true,true,4,4,4,true,,true,true,true,
CC00423XX11,127200,true,true,,,4,true,,true,true,true,
